序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,836892,广咨国际,21.76,29.99,5.02,135168.0,261942886.15,32.14,21.76,16.38,16.43,16.74,3.35,10.12,34.41,7.94,3369859506.0,2906033704.0,0.0,0.0,86.94,98.36
2,831961,创远信科,22.85,29.98,5.27,335041.0,716631180.79,31.91,22.85,17.24,17.65,17.58,5.57,31.78,195.72,4.31,3263905608.0,2409276763.0,0.0,0.0,47.42,54.18
3,688093,世华科技,25.54,20.02,4.26,114109.0,283657591.0,8.65,25.54,23.7,23.7,21.28,4.28,4.34,19.24,3.35,6707603708.0,6707603708.0,0.0,0.0,41.18,26.5
4,688182,灿勤科技,27.16,20.02,4.53,160085.0,403638911.0,20.99,27.16,22.41,22.41,22.63,2.06,4.0,119.86,4.93,10864000000.0,10864000000.0,0.0,0.0,58.74,51.9
5,301566,达利凯普,16.37,20.01,2.73,216399.0,344361107.5,9.6,16.37,15.06,15.06,13.64,4.19,10.25,31.79,4.68,6548163700.0,3455490490.0,0.0,0.0,6.78,-0.43
6,300322,硕贝德,13.92,20.0,2.32,712440.0,945723210.17,20.95,13.92,11.49,11.6,11.6,5.74,16.0,-99.99,6.7,6483190264.0,6196474595.0,0.0,0.0,8.75,6.18
7,300778,新城市,12.08,19.96,2.01,174798.0,192964286.41,21.55,12.08,9.91,10.16,10.07,2.95,8.58,-14.01,1.87,2465045597.0,2459723391.0,0.0,0.0,20.92,8.24
8,301600,慧翰股份,183.8,19.23,29.65,34708.0,590613882.5,20.18,183.88,152.78,154.18,154.15,2.25,19.78,71.7,10.26,12893570000.0,3225690000.0,0.0,0.97,-29.48,-6.51
9,833394,民士达,52.0,17.94,7.91,154322.0,786844016.07,24.59,56.84,46.0,46.0,44.09,1.66,32.18,62.23,10.18,7605000000.0,2493595000.0,0.29,-0.06,128.07,168.04
10,301509,金凯生科,28.68,17.25,4.22,140559.0,404442499.87,11.65,29.35,26.5,27.0,24.46,7.01,24.77,65.94,1.61,3454410467.0,1627329815.0,0.0,-0.35,13.99,10.82
11,838924,广脉科技,30.74,15.78,4.19,123316.0,361150232.98,18.79,31.39,26.4,26.69,26.55,2.52,19.73,94.78,10.89,3306747910.0,1921644579.0,0.03,-0.1,103.17,104.12
12,835640,富士达,29.57,15.6,3.99,151649.0,425055023.41,16.69,29.57,25.3,25.43,25.58,3.24,8.4,108.58,6.36,5551116960.0,5340341556.0,0.07,0.92,26.8,8.47
13,300266,兴源环境,2.48,12.73,0.28,955859.0,235131707.27,16.82,2.57,2.2,2.22,2.2,3.02,6.15,-18.74,30.95,3853442139.0,3852035607.0,-0.4,-0.8,-4.98,-12.98
14,688307,中润光学,27.2,12.68,3.06,37324.0,95781121.0,14.33,27.3,23.84,24.0,24.14,2.74,6.42,44.8,2.78,2393600000.0,1581661558.0,-0.11,0.0,11.48,13.33
15,300204,舒泰神,9.08,12.24,0.99,497699.0,442518610.6,14.83,9.32,8.12,8.12,8.09,2.7,10.54,-29.95,4.67,4338174799.0,4285572053.0,0.22,-0.11,33.14,22.54
16,300134,大富科技,11.48,12.0,1.23,440187.0,487166304.91,15.61,11.75,10.15,10.25,10.25,3.3,6.18,-29.47,2.09,8810877109.0,8178558709.0,-0.09,0.0,1.41,-2.13
17,830879,基康仪器,21.5,11.86,2.28,66082.0,134116961.94,14.46,21.6,18.82,19.13,19.22,2.01,5.86,38.94,5.04,2999202184.0,2423641207.0,1.61,1.61,82.67,82.67
18,300964,本川智能,38.26,11.25,3.87,80847.0,302989850.15,18.29,40.35,34.06,34.23,34.39,4.4,14.95,104.77,2.97,2957432346.0,2068370876.0,-0.34,0.16,10.23,6.57
